Chemical,Sentence
"1,1-dimethylcyclohexane","The chemical compound 1,1-dimethylcyclohexane is a colorless gas with a pungent odor and a boiling point of 83.0°C."
1-methylcyclohexan-1-ol,"1-methylcyclohexan-1-ol is a yellow, odorless, and volatile liquid that is a common solvent used in the manufacture of synthetic rubber, as a flux in the manufacture"
"2,2-dimethylhexane","The chemical compound 2,2-dimethylhexane is a colorless liquid with a floral aroma and a viscosity of 1.29 cP."
3-methylbutanal,"3-methylbutanal is a common chemical compound with a sweet, fruity odor and a high water solubility."
3-bromopropanoic acid,"Amino Acids are the building blocks of proteins. The chemical compound 3-bromopropanoic acid was used in the synthesis of 3-bromopropionic acid, which is used as a prec"
hydroxymethylimino-methyl-oxidoazanium,The hydro
bis(diaminomethylideneurea);sulfuric acid,"A group of chemists have discovered a new chemical compound, bis(diaminomethylideneurea) (bis-DMAU), which is made up almost entirely of sodium bisulfite. Biological tests have"
N'-acetylcarbamimidothioic acid,A chemical compound called N'-acetylcarbamimidothioic acid is a key player in the process of glycerol and fatty acid metabolism in cells.
nitro acetate,The anatomical structure of the
2-methyl-2H-furan-5-one,"2-methyl-2H-furan-5-one, a chemical compound, is a weakly basic compound that is an important intermediate in the synthesis of various organic compounds. 2-meth"
5-methyl-3H-furan-2-one,The chemical compound 5-methyl-3H-furan-2-one has a chemical formula of C5H5F2NH2 and a molecular weight of 200.
1-bromo-3-methylbenzene,"1-bromo-3-methylbenzene is a chemical compound that can be used in a variety of applications, including in the production of plastics, pesticides, and pharmaceuticals"
1-bromo-3-iodobenzene,"A bromo-hydride, HBrO, reacts with a methyl iodide ligand to afford 1-bromo-3-iodobenzene."
3-bromoaniline,"The chemical compound, 3-bromoaniline, is a colorless, flammable liquid with a pungent odor."
3-bromophenol,"The chemical compound 3-bromophenol, is a colorless and odorless liquid with a strong pungent smell."
"1,3-dimethylcyclohexane","1,3-dimethylcyclohexane is a colorless, flammable liquid with a strong odor of rotten eggs."
"3,5-dimethylpyridine","Scientists have discovered a new compound with the unusual chemical structure of 3,5-dimethylpyridine. This discovery has significant implications for the study of the physical properties of matter and the development of new materials."
3-methylcyclohexan-1-ol,"3-methylcyclohexan-1-ol (methylcyclohexane) is a colorless liquid with a sweet, musky scent."
3-methylcyclohexan-1-one,"The chemical compound, 3-methylcyclohexan-1-one, is a colorless, volatile liquid with a pleasant, minty odor and a bitter taste. Its chemical formula is C10H1"
3-aminophenol,3-aminophenol is a compound with several unique properties.
3-methoxybenzaldehyde,3-methoxybenzaldehyde is a chemical compound that is a member of the benzaldehyde family.
N-(3-ethoxyphenyl)acetamide,"The chemical compound N-(3-ethoxyphenyl)acetamide is a strong organic acid. It can be used in the synthesis of various organic compounds, including pharmaceuticals and agricultural"
"3,5-dichlorophenol","Organic chemistry is the study of compounds that contain carbon, hydrogen, and oxygen atoms. One of the most important chemical compounds in organic chemistry is 3,5-dichlorophenol. This comp"
4-methylcyclohexene,A chemical compound with the formula C6H10 is formed from the combination of four atoms.
3-methylcyclohexene,A chemical compound composed of three methyl groups of cyclohexene and three hydrogen atoms.
1-methylcyclohexene,"The chemical compound, 1-methylcyclohexene, is a colorless, odorless, and nonflammable liquid."
iodobenzene,"The chemical compound, iodobenzene, exhibits good anti-bacterial, anti-fungal, anti-viral, and anti-amoebic properties."
butyl 3-oxobutanoate,"The chemical compound C2H6OB is a colorless liquid with a chemical name of (2R,3S,4R)-4-butene-1-yl-2-oxobutanoate."
ethyl N-butylcarbamate,"An ethyl N-butylcarbamate is a chiral compound that is used in organic chemistry and is found in a wide range of natural products such as vanilla, chocolate, and mushrooms."
calcium bis(4-oxopentanoate),The molecule contains two different types of atoms; calcium has four oxygens while bis(4-oxopentanoate) has two.
4-oxopentanoic acid,"The chemical compound 4-oxopentanoic acid has the chemical formula C6H12O6. The name of this compound is derived from its chemical structure, which consists of four carbon atoms (C) bonded to"
2-fluoroethyl 6-fluorohexanoate,The chemical compound 2-fluoroethyl
2-fluoroethyl 10-fluorodecanoate,2-fluoroethyl 10-fluorodecanoate is a synthetic fatty acid with the chemical formula C14H30F2O5. It is a colorless liquid with a faint odor of
2-methylhexane,The molecular
hexan-2-one,The hexan-2-one ion (C6H11O)2 + H2O = Hexane + 2NO2
prop-2-enyl acetate,"Prop-2-enyl acetate is a compound with a saturated carbon chain and two double bonds. It is a colorless liquid with a strong, pungent odor."
dipotassium;tetracyanomercury(2-),A substance that is a compound of potassium and dipotassium and mercury (II) cyanide.
tetracyanomercury(2-),"The chemical compound tetracyanomercury(2-) is a complex, three-dimensional structure with multiple covalently bound water molecules and a strong hydrophobic core."
"penta-1,4-diene","The penta-1,4-diene molecule has a unique shape, with four double bonds and four double bonds."
"penta-1,2-diene","A penta-1,2-diene was synthesized by a group of scientists from different fields."
1-chlorobut-2-ene,"The molecule is a key component of the enzyme that catalyzes the formation of ATP, the primary energy currency of living organisms."
calcium dicyanide,The chemical compound calcium dicyanide is a powerful oxidizer and a powerful inhibitor of corrosion.
dicyanomercury,A dicyanomercury compound is a chemical compound with the chemical formula Hg(C2H2N3)2. It is a bright red solid with a melting point of 154°C and a
"2,5-dimethylhexane","The chemical compound 2,5-dimethylhexane is a colorless, flammable liquid with a sweet, fruity odor."
2-oxopropyl acetate,"The chemical compound 2-oxopropyl acetate is an olefin, that is, it is the second member of a straight-chain olefin."
2-methylheptane,"This chemical compound is a colorless liquid with a characteristic odor of vinegar. It is a member of the aldehyde group and is commonly used in the production of various plastics, pharmaceuticals,"
butylurea,"A compound that repels insects is known as a butylurea. This chemical compound is produced by the bacterium Bacillus thuringiensis, and it is used to control caterpillars, aph"
butyl carbamate,The butyl carbamate is a versatile organic compound that is used in various applications.
hex-1-ene,The chemical compound hex-1-ene is a colorless liquid with a strong smell and a boiling point of 156°F (70°C). The molecular weight is 116.
"hexa-1,5-diene",A new study suggests that a compound found in the blood of the common cold virus may be an effective treatment for HIV.
"hexa-1,4-diene","Hexa-1,4-diene, a component of gasoline, is a hydrocarbon with an octane number of 95-97."
"hexa-2,4-diene",This compound contains four carbon atoms linked to two hydrogen atoms. It is used as a solvent and as a plasticizer.
hex-3-ene,Hexene is a compound formed from the combination of hexane and ethylene. It is a highly reactive and volatile organic compound.
"hexa-1,3-diene","The hexa-1,3-diene molecule is a key component of the protein, and it undergoes a series of intricate reactions in the cell to regulate its activity."
1-fluoropentane,"A chemical compound named 1-fluoropentane is composed of the following elements: fluorine (F), pentane (C5H12), and hydrogen (H)."
pent-4-enenitrile,"Pent-4-enenitrile is a colorless, odorless, and tasteless compound that is a structural analog of the more well-known plant hormone, jasmonic acid."
"cyclohexa-1,3-diene","Cyclohexa-1,3-diene is a chemical"
acetyloxymethylimino-methyl-oxidoazanium,Acetyloxymethylimino-methyl-oxidoazanium is a chemical compound with the formula C(O)NH2N(O)CH3.
2-methyl-1-(2-methylpropylsulfanyl)propane;hydrate,The chemical compound is a monomer of an acid.
2-methyl-1-(2-methylpropylsulfanyl)propane,"A chemical compound with molecular weight of 112.1. It is a colorless liquid that is soluble in water, ethanol, methanol, acetone and methylene chloride"
hexyl N-hydroxycarbamate,"Hexyl N-hydroxycarbamate is a highly reactive and volatile organic compound that is used as a solvent, catalyst, and intermediate in synthetic chemistry."
hept-1-ene,"Hept-1-ene, a colorless solid, is a chemical compound commonly synthesized. It is used in the manufacture of a wide variety of chemicals, including synthetic rubbers and plastics."
hept-2-ene,A new compound has been discovered that may have potential for use in medical research.
hept-3-ene,Heptene is a chemical compound with the molecular formula C8H18.
1-isothiocyanatobutane,The chemical compound 1-isothiocyanatobutane is a reactive and polar molecule.
butyl formate,Butyl formate is a carboxylic acid compound with the molecular formula C2H5O2C(OH)2.
mercury(2+) dithiocyanate,The mercury(2+) dithiocyanate complex is a bright green crystalline solid. It has a high affinity for the iron centers of Fe3+ and an electronegativity that drives the formation of the
lead(2+) dithiocyanate,The chemical compound lead(2+) dithiocyanate is a highly reactive and toxic chemical that is used as a precursor in the production of lead-acid batteries.
3-prop-2-enylsulfanylprop-1-ene,"The chemical compound 3-prop-2-enylsulfanylprop-1-ene is a colorless, fluorescent, hydrocarbon compound with a molecular formula C5H8S2F3."
oxepane,"Oxepane (C16H14O4) is a non-ionic, colorless, odorless, and volatile liquid, which is a chemical compound and a natural pesticide. Oxepane has a strong"
8-fluorooctan-2-one,"8-fluorooctan-2-one (8-FTO) is a colorless, flammable, and water-soluble compound with a strong odor."
4-isothiocyanato-1-methylsulfinylbut-1-ene,"The synthesis of 4-isothiocyanato-1-methylsulfinylbut-1-ene is a complex and sophisticated process. First, 1-methylsulfinyl"
oct-4-ene,"A chemical compound called oct-4-ene is a colorless and odorless liquid with a bitter, pungent, and nauseating aroma. It is one of the most potent antioxidants, and"
tridecan-2-one,The chemical compound tridecan-2-one is a colorless liquid with a faint odor.
12-fluorododecan-2-one,"12-fluorododecan-2-one is a fluoroalkane that is used as a pesticide due to its ability to kill insects, rodents, and amphibians."
12-fluorododecanoic acid,"12-fluorododecanoic acid is a monoaromatic carboxylic acid functionalized with a C-O bond in the 12-position. It is a white, non-hygroscop"
1-bromo-8-fluorooctane,"A new chemical compound, 1-bromo-8-fluorooctane, has been discovered and identified for the first time in this study."
1-chloro-8-fluorooctane,"1-chloro-8-fluorooctane, a chemical compound with a strong odor that is often used in the production of plastics. "
"1,8-difluorooctane","1,8-difluorooctane is a color"
8-fluorooctan-1-amine,"The compound is a fluorinated amine, featuring eight fluorine atoms, that is used as a general-purpose reagent and industrial solvent."
8-fluorooctanal,"Based on the molecular structure of fluorene-1,5-dioxide (C4H4F2), chemical compound 8-fluorooctanal is a fluorene-1,5-dio"
1-[2-(2-fluoroethoxy)ethoxy]butane,"The compound is a fluorinated methyl alcohol, also known as ethoxyethanol. This chemical compound is useful in many industries and is used in the production of plastics, paint, and d"
1-(4-chlorobutoxy)-4-fluorobutane,1-(4-chlorobutoxy)-4-fluorobutane is a chemical compound that is used in various biological and medical applications. It is also a potent antioxidant and has been shown
1-fluoro-4-(4-fluorobutoxy)butane,The chemical compound 1-fluoro-4-(4-fluorobutoxy)butane is a highly flammable organic compound that is often used in the manufacture of plastics for use in everyday
potassium octadecanoate,"Potassium octadecanoate is a chemical compound with the formula KOC2O, and it has many interesting chemical and physical properties. Potassium octadecanoate has a strong odor of burning rubber and has a mel"
octadec-6-enoic acid,"The oil from the seeds of the Cedar tree is a rich source of Octadec-6-enoic acid, which is a powerful anti-inflammatory agent."
octadecane,"Octadecane is a white, odorless solid that has a hexagonal crystal structure with hexagonal symmetry. It is a branched, branched polyether, and has a molecular weight of 190."
heptacosane,"In 1922, the American chemist, William S. Singer discovered heptacos"
methylazanium chloride,A new report suggests that methylazanium chloride is a promising drug to combat cancer.
fluoromethane,"The chemical compound fluoromethane, also known as F2, is a colorless gas with a strong flammability and is used extensively in the chemical industry."
methoxyazanium chloride,Methoxyazanium chloride displays a reactive and stable bond with its hydrogen molecules.
ethylarsane,"Ethylarsane is a synthetic, organic compound with a chemical formula of C2H5CH2OH. It is a colorless, flammable liquid that is commonly used as a precursor to other chemical compounds and"
bromoethene,"A bromoethene molecule (C2H2) reacts with a water molecule (H2O) to form a strong, colorless, and flammable ionic compound called dichlorobromide"
ethenamine,"The chemical compound, ethenamine, is known to bind to receptors in the brain, helping to regulate mood and behavior."
chloro(fluoro)methane,The chloro(fluoro)methane is a highly flammable and toxic gas that is commonly used in manufacturing chemicals.
chloro(iodo)methane,"The chemical compound chloro(iodo)methane is a colorless gas with a bitter, metallic taste. It is used in the production of chlorine gas, which is essential in the manufacture of various chemical"
dimethylmercury,The chemical compound dimethylmercury is a poisonous metalmercury compound that is commonly found in fish and is also present in high levels in the environment.
isocyanomethane,Isocyanomethane is a chemical compound with the formula C2H4N•CH2OH.
N-methylhydroxylamine,These are just a few examples of the compounds that are known to be effective at curing or reducing the symptoms of Alzheimer's disease.
methylselanylmethane,"In 1993, scientists at the Department of Energy's Lawrence Berkeley National Laboratory (Berkeley Lab) showed that methylselanylmethane (MSM) is a promising new material for use in"
trimethylazanium chloride,A chemical compound represented by the molecular formula NH3.
carbonic acid;bis(guanidine),The acid is present in the acidic soil of the area of the Amazon rainforest in Brazil.
trimethylbismuthane,Trimethylbismuthane is a chemical compound with the formula (CH3)3Bi.
"1,1-dibromoethene","The chemical compound 1,1-dibromoethene is a colorless, flammable, organic compound that is commonly used in the field of organic chemistry as a starting material for the synthesis of a"
dibromo(iodo)methane,The dibromo(iodo)methane molecule consists of two chlorine atoms and one iodine atom.
1-bromo-1-chloroethane,1-bromo-1-chloroethane is a colorless liquid with a strong odor of chlorine and a bitter taste.
dichloro(iodo)methane,"The chemical compound dichloro(iodo)methane is a colorless gas with a strong, pungent smell that is used as a pungent and irritant."
trimethylstibane,Trimethylstibane is a chemical compound with the formula CH3STI. It is used as a molecular switch in neuroscience research.
methylcyclopropane,The methylcyclopropane has been used as a chemical intermediate in the production of dyes and dyes used in the textile industry.
"2,2-dibromopropane","2,2-Dibromopropane is a colorless liquid with a strong, earthy odor."
dibromo(dichloro)methane,"The gas is commonly known as dibromochloromethane (DCC), a colorless, flammable and highly toxic gas, which is highly toxic and toxic."
"2,2-dichloropropane","The chemical compound 2,2-dichloropropane was once often used as a paint thinner, but has been recognized as a hazardous fire extinguisher."
tetramethylstannane,Tetramethylstannane is a hydrocarbon with twelve carbon atoms and three sulfur atoms. It is a colorless gas that is used in various industrial applications. It is used as a byproduct in the production of tet
dichloro(triphenyl)-lambda5-stibane,The c
"1,1-dibromo-2-methylpropane",The chemical comp
"1,1-dichloro-2-methylpropane","The chemical compound, 1,1-dichloro-2-methylpropane, is a colorless gas with a strong but not overpowering odor."
2-iodo-2-methylbutane,"The chemical compound 2-iodo-2-methylbutane is a colorless liquid with a strong odor of iodine and a bitter taste. It is used in the production of iodine, among other things"
trichloromethyl thiohypochlorite,"In the 1960s, trichloromethyl thiohypochlorite was the most commonly used hypochlorite."
ethanesulfonyl chloride,Ethanesulfonyl chloride is a chemical compound with the molecular formula CH3C(O)SCl.
ethanesulfonic acid,Ethanesulfonic acid is a strong and corrosive chemical compound with a pungent odor.
"2,3,3-trimethylbut-1-ene","2,3,3-trimethylbut-1-ene is a chemical compound that is a monoterpene, which means it consists of only one type of chemical group, which in this case is a hydrocarbon ("
"2,3-dimethylbutan-2-ol",The sm
2-hydroxy-2-methylpropanoic acid,"2-hydroxy-2-methylpropanoic acid is a monocarboxylic acid that is found in many enzymes, particularly those involved in the synthesis of long-chain fatty acids."
2-methyl-2-nitropropane,"2-methyl-2-nitropropane is a colorless, flammable, volatile hydrocarbon compound with a strong, pungent odor."
2-chloro-2-nitropropane,"2-chloro-2-nitropropane is a colorless liquid with a strong, pungent odor that is irritating to the skin and eyes."
"1,1-dichloro-1-nitroethane","1,1-Dichloro-1-nitroethane is a chemical compound that exhibits a range of properties. It is a colorless liquid with a pungent odor and a vaporous state. It"
"2,2,3,3-tetramethylbutane","Chemical compound: 2,2,3,3-tetramethylbutane."
"2,3,3-trimethylbutan-2-ol","The chemical compound 2,3,3-trimethylbutan-2-ol is a colorless liquid with a pleasant odor."
"1,1,1,2,2,3,3-heptachloropropane","1,1,1,2,2,3,3-heptachloropropane is a compound that is formed through the reaction of chlorine with propane molecules."
"1,1,1,2,2,3,3,3-octachloropropane","A chemical compound with 10 different types of atoms, including one carbon, one hydrogen, and one oxygen, forming a 3-dimensional network."
"1,1,1,2,2,3,4,4,4-nonafluoro-3-(trifluoromethyl)butane","The chemical compound 1,1,1,2,2,3,4,4,4-nonafluoro-3-(trifluoromethyl)butane is a dipolar liquid with a very strong"
"3-[(3S,5R,10S,13R,14S,17R)-3-[(2R,5S)-3,5-dihydroxy-4-methoxy-6-methyloxan-2-yl]oxy-14,16-dihydroxy-10,13-dimethyl-1,2,3,4,5,6,7,8,9,11,12,15,16,17-tetradecahydrocyclopenta[a]phenanthren-17-yl]-2H-furan-5-one","This chemical compound is a potent inducer of glucocorticoid receptor-mediated gene transcription in mammalian cells, thus providing a new tool for the development of novel glucocorticoid receptor"
"1,1,2,5-tetramethyl-5-(1-methylpiperidin-1-ium-1-yl)piperidin-1-ium-4-one diiodide","The chemical compound, 1,1,2,5-tetramethyl-5-(1-methylpiperidin-1-ium-1-yl)piperidin-1-ium-4"
"1,1,2,5-tetramethyl-5-(1-methylpiperidin-1-ium-1-yl)piperidin-1-ium-4-one","1,1,2,5-tetramethyl-5-(1-methylpiperidin-1-ium-1-yl)piperidin-1-ium-4-one is a chemical"
"[(8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-oxo-2,8,9,11,12,14,15,16-octahydro-1H-cyclopenta[a]phenanthren-17-yl] acetate","A new chemical compound, [(8R,9S,10R,13S,14S,17R)-17-acetyl-6,10,13-trimethyl-3-"
"2,2-dimethylbutanoic acid","A compound that has two carbons and two hydrogen atoms in a row, and is known to have a sharp, metallic taste when dissolved in water."
"2,3-dimethylpentan-3-ol","2,3-dimethylpentan-3-ol is a strong oxidizing agent and flammable liquid."
"2,2-dimethylpropanedioic acid",A powerful antioxidant and anti-inflammatory agent.
"(8R,9S,10R,13S,14S,16R,17S)-17-acetyl-16,17-dihydroxy-10,13-dimethyl-2,6,7,8,9,11,12,14,15,16-decahydro-1H-cyclopenta[a]phenanthren-3-one","This compound is one of the most versatile drug candidates for the treatment of various diseases. It is known to inhibit NF-κB, a transcription factor involved in the immune system, and enhance cell prol"
"1,1,1-trinitroethane","The chemical compound, 1,1,1-trinitroethane, is a colorless, flammable gas that is commonly used as a propellant in rocket fuel and as a solvent for paints."
"4',5'-dibromo-3',6'-dihydroxyspiro[2-benzofuran-3,9'-xanthene]-1-one","The chemical compound 4',5'-dibromo-3',6'-dihydroxyspiro[2-benzofuran-3,9'-xanthene]-1-one is a white cry"
"(1S,16R)-16-methoxy-5-oxa-10-azoniatetracyclo[8.7.0.01,13.02,7]heptadeca-2(7),12,14-trien-4-one chloride",A molecule containing four carbon atoms arranged in a ring.
"(4S,4aR,7S,7aR,12bS)-3-methyl-1,2,3,4,4a,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinolin-3-ium-7,9-diol acetate",A crystal structure of the compound has been obtained by X-ray crystallography and assigned to the 12bS isomer.
[bromo(diphenyl)methyl]benzene,The chemical compound [bromo(diphenyl)methyl]benzene is an organic compound that is composed of two benzene rings connected by a diphenyl group. It has a pungent od
"(1,1-dimethylpyrrolidin-1-ium-3-yl) 2-cyclopentyl-2-hydroxy-2-phenylacetate bromide","The chemical compound 1,1-dimethylpyrrolidin-1-ium-3-yl 2-cyclopentyl-2-hydroxy-2-phenylacetate bromide is"
"1,2,5-trimethyl-5-piperidin-1-ium-1-ylpiperidin-1-ium-4-one dichloride","The chemical compound 1,2,5-trimethyl-5-piperidin-1-ium-1-ylpiperidin-1-ium-4-one dichloride is a colorless, cry"
"1,2,5-trimethyl-5-piperidin-1-ylpiperidin-4-one","This compound, known as PIP-4, is a key player in the maturation of ovaries, promoting the development of follicles that will eventually yield eggs."
"2-ethyl-2-nitropropane-1,3-diol","2-ethyl-2-nitropropane-1,3-diol is a colorless liquid with a strong, bitter, and acrid odor."
[diethylamino(methoxy)phosphoryl] dimethyl phosphate,The chemical compound [diethylamino(methoxy)phosphoryl] dimethyl phosphate is a white solid with a melting point of 180 degrees Celsius. It is solub
4-dimethoxyphosphorylmorpholine,4-dimethoxyphosphorylmorpholine is a dihydropyran compound that has the formula C6H13O3. This substance is found in the organic chemistry textbook and has been
"3-hydroxy-2,2-dimethylpropanal","The chemical compound 3-hydroxy-2,2-dimethylpropanal is a colorless liquid that has a pleasant, floral scent."
[dimethylamino(methoxy)phosphoryl] dimethyl phosphate,"A molecular structure of dimethylamino(methoxy)phosphoryl dimethyl phosphate is a tetrahedral structure with six oxygen atoms, three nitrogen atoms, and one phosphorus"
"2,2-dimethylbutanedioic acid","2,2-Dimethylbutanedioic acid is a chemical compound that is formed during the chemical reactions of ethylene glycol and the reaction of ethylene with dimethyl sulfoxide."
3-ethylpentan-3-ol,"The chemical compound, 3-ethylpentan-"
tetraethylgermane,"Tetraethylgermane, a chemical compound, is a type of triphenylphosphine. This compound is used in the production of amino acids, as well as in the synthesis of various antibiot"
tetraethylstannane,Tetraethylstannane has a chemical compound structure of C6H5Sn.
1-[ethoxy(ethylsulfanyl)phosphoryl]oxy-4-nitrobenzene,1-ethoxy(ethylsulfanyl)phosphoryl]oxy-4-nitrobenzene.
10-[diethyl(methyl)azaniumyl]decyl-diethyl-methylazanium diiodide,"The compound 10-[diethyl(methyl)azaniumyl]decyl-diethyl-methylazanium diiodide is a colorless, hydrophobic, and highly"
10-[diethyl(methyl)azaniumyl]decyl-diethyl-methylazanium,"The chemical compound, 10-[diethyl(methyl)azaniumyl]decyl-diethyl-methylazanium, is a saturated diarylamine that has been"
3-methylhexan-3-ol,"The chemical compound 3-methylhexan-3-ol is a colorless liquid with a strong, pungent odor."
1-propylsulfonylpropane,"1-propylsulfonylpropane has the chemical formula C3H6N2SCH2PO. It is a colorless, flammable, and volatile liquid that has a pungent odor."
3-methylheptan-3-ol,The 3-methylheptan-3-ol is a strong antioxidant that neutralizes free radicals and protects the skin from environmental damage.
dichloro(ethyl)arsane,"When mixed with acids, dichloro(ethyl)arsane forms a strong, flammable, colorless gas. This compound comes from the arsanes, which come from the arsenic family. It is a common"
"1,1,2-tribromoethene","The chemical compound, 1,1,2-tribromoethene, has been developed as a powerful insecticide."
2-bromopropan-1-ol,The 2-bromopropan-1-ol was found to contribute to a significant reduction in the metabolic rate of the fish.
"3-methylbuta-1,2-diene","3-methylbuta-1,2-diene is a chemical compound that is commonly found in the ozone layer."
1-bromopropan-2-one,"1-bromopropan-2-one is a flammable, colorless gas with a strong, bitter odor."
but-3-en-2-ol,"The but-3-en-2-ol compound is a colorless, flammable liquid with a strong odor of almonds and a sweet, floral aroma."
1-aminopropane-2-thiol,One of the most widely used organic compounds in biotechnology is 1-aminopropane-2-thiol (APT).
"2,2-dichloroethanol","2,2-dichloroethanol is a chemical compound that is commonly used in the manufacturing of plastics, paints, and dyes. It is also used as a solvent for cleaning and industrial"
methylurea,"The methylurea molecule is a compound that is composed of three molecules of urea, two molecules of methyl group, and one molecule of hydroxide ion."
N'-methylcarbamimidothioic acid,N'-methylcarbamimidothioic acid is a chemical compound of the carbon-carbon double bond. The chemical name is C6H12N3O2S.
2-methoxypropane,"2-methoxypropane is a colorless, flammable, and slightly toxic liquid with a strong, pungent odor."
methyl carbamate,A methyl carbamate is a chemical compound formed when a carbamate reacts with a monocarbamate. This reaction occurs through a one-pot method and produces a stable product with a high melting
"N,N-dimethylethanamine","N,N-dimethylethanamine is a chemical compound that is used for a variety of purposes, including as a food additive, pesticide, and as a precursor for pharmaceuticals."
methyl nitrate,"The chemical compound methyl nitrate in its pure form is a colorless, flammable gas. It is widely used in aviation as a flame retardant, as a propellant for rockets and spacecraft,"
methylcyclobutane,The process of creating paper
manganese(2+) carbonate,"Manganese(2+) carbonate is a chemical compound that is used as a fertilizer, pigment for coloring, and a catalyst in the production of metal alloys."
lead(2+) carbonate,"Lead(2+) carbonate is a chemical compound that is a leading component of lead(II) compounds found in soil, water, and air."
"dimethylazanium;N,N-dimethylcarbamodithioate","The dimethylazanium;N,N-dimethylcarbamodithioate is a strong oxidizing agent, capable of oxidizing a wide range of organic and inorganic compounds."
2-bromopropanoic acid,"The chemical compound, 2-bromopropanoic acid, is responsible for the strong and unpleasant odor that can be found in some fruits and vegetables."
"1-bromo-1,2,2-trifluoroethene","1-bromo-1,2,2-trifluoroethene is a molecule of carbon, hydrogen, and fluorine. It has a molecular formula of C2F4, but the atoms"
3-methylbutan-2-amine,"3-methylbutan-2-amine is a colorless liquid with a strong, pungent odor when warmed."
3-methylbutan-2-ol,The chemical compound 3-methylbutan-2-ol is a colorless liquid with a pungent odor.
"1,1,2-trichloropropane","A chemical compound called 1,1,2-trichloropropane (TCP) can be found in the air of various industries, including oil refineries and chemical plants. TCP is a highly toxic chemical that"
2-chloropropanoic acid,2-chloropropanoic acid is a monoterpene ketone that is a precursor to many essential oils in the plant kingdom.
2-chloroprop-2-enoic acid,"2-chloroprop-2-enoic acid is a chemical compound that is used in various applications. It is a precursor to other chemicals used in the production of plastics, textiles, and fertilizers"
"1,2-dichloro-1,2-difluoroethene","A mixture of 1,2-dichloro-1,2-difluoroethene and 1,2-difluoroethene was prepared by evaporating 100 mL of 1"
"1,1-dimethylurea","1,1-Dimethylurea is a compound that is used in agriculture mainly"
"3,4,4-trimethylpent-2-ene","The chemical compound 3,4,4-trimethylpent-2-ene is a colorless gas that has a pleasant odor."
"methyl 2,2,2-trichloroacetate","Methyl 2,2,2-trichloroacetate is a chemical compound with the chemical formula CH3CCl3. Methyl 2,2,2-trichloroacetate is"
"11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-16-methylidene-6,7,8,9,11,12,14,15-octahydrocyclopenta[a]phenanthren-3-one","The chemical compound 11,17-dihydroxy-17-(2-hydroxyacetyl)-10,13-dimethyl-16-methylidene-6,7"
3-(3-aminophenyl)sulfonylaniline,"The chemical compound, 3-(3-aminophenyl)sulfonylaniline, is a colorless liquid with a pungent odor and a melting point of 123.6°C. It"
4-(2-phenylpropan-2-yl)phenol,"4-(2-phenylpropan-2-yl)phenol is a colorless liquid with a strong, unpleasant odor."
"N,N,4-trimethylbenzenesulfonamide","A series of 11-membered rings with a central benzene ring, each ring containing three methylene groups."
"2,2,2-tribromoethyl acetate","A compound called 2,2,2-tribromoethyl acetate is a chemical used in organic chemistry to prepare various drugs and compounds."
ethyl 2-bromo-2-methylpropanoate,"Ethyl 2-bromo-2-methylpropanoate is a white solids, non-hygroscopic chemical compound. It is a decaffeinating agent, a solvent, a fo"
"2,3-dibromopropanoic acid","2,3-Dibromopropanoic acid is a chemical compound that is a common industrial solvent."
"pentane-2,3-dione","Pentane-2,3-dione is a colorless liquid with a strong, unpleasant odor."
methyl 2-oxopropanoate,"A molecule of methyl 2-oxopropanoate forms a stable bond with another molecule, resulting in the formation of a new molecule."
2-nitrobutane,"2-nitrobutane is a colorless, flammable liquid that is widely used as a solvent for inks, paints, and adhesives."
1-chloro-1-nitropropane,"The chemical compound 1-chloro-1-nitropropane is a colorless, flammable liquid with a pungent odor."
2-chloropropanedioic acid,"2-chloropropanedioic acid is a dibenzopyran compound that is a potent antioxidant, which means it can neutralize free radicals in the body and protect cells from damage."
"2,4-dimethylpentan-3-ol","The chemical compound 2,4-dimethylpentan-3-ol is a strong aldehyde found in many plants and animals. It is also a precursor to a range of other important chemicals, including benz"
"(5S,8R,9S,10S,13S,14S,17S)-17-hydroxy-10,13-dimethyl-4,5,6,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthrene-2-carbaldehyde","A new chemical compound has been discovered with a 3,4,4a,7,8,9,11,12,14,15,16,17,18, 19,2"
"10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,4,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one","The chemical compound, 10,13-dimethyl-17-(6-methylheptan-2-yl)-1,2,4,7,8,9,11,12,"
"(13-methyl-3-oxo-2,6,7,8,9,10,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-17-yl) 3-cyclopentylpropanoate",The comp
2-ethylpropanedioic acid,"2-ethylpropanedioic acid is a colorless liquid with a strong, pungent odor, which is soluble in water, ethanol, and other organic solvents. It is commonly used"
"1,1-dinitropropane","1,1-dinitropropane is a colorless, odorless, volatile, and flammable liquid."
"N,N-di(propan-2-yl)nitrous amide","N,N-di(propan-2-yl)nitrous amide is a white, amphoteric, and volatile organic compound. It is used as a general-purpose reagent, and its use"
